id,title,artists,pp_artist,k16_cluster
7GnCfb6wYzg3KyhbJCvOCv,Good for You,['Third Eye Blind'],Third Eye Blind,5
1EXHOg3R2R5we09DgwIABp,London,['Third Eye Blind'],Third Eye Blind,14
6H6Gh6sds1QiHmFgzoEJbS,I Want You,['Third Eye Blind'],Third Eye Blind,3
5n8EO9QJbmQLtQd8MAvrOg,The Background,['Third Eye Blind'],Third Eye Blind,5
6xkryXuiZU360Lngd4sx13,Fantasy,['Mariah Carey'],Mariah Carey,6
1kkbUvmqZiNmWCR9TLd4tO,Underneath the Stars,['Mariah Carey'],Mariah Carey,7
7ySbfLwdCwl1EM0zNCJZ38,One Sweet Day,"['Mariah Carey', 'Boyz II Men']",Mariah Carey / Boyz II Men,5
5zVY1h1jUFLhZ7fLBjMTK7,Open Arms,['Mariah Carey'],Mariah Carey,1
0cCJ8mOuvpqb3Ic2FAooW6,I Am Free,['Mariah Carey'],Mariah Carey,1
3Iq58ceNpVxghuRWqMLGHy,When I Saw You,['Mariah Carey'],Mariah Carey,5
3gc1gXQN7HcKJrzkQwEYc0,Long Ago,['Mariah Carey'],Mariah Carey,2
7c010UJj6NGc5QcM8EaIt3,Melt Away,['Mariah Carey'],Mariah Carey,3
74EIDs3yEsMR1gcUmFD4FB,Forever,['Mariah Carey'],Mariah Carey,1
5XmNooFUhM9Y5Ta5hCm065,Daydream Interlude - Fantasy Sweet Dub Mix,['Mariah Carey'],Mariah Carey,2
1bnzK1Vva8X0hmXy6RRz1G,Looking In,['Mariah Carey'],Mariah Carey,1
1CwQqhPYxz73UYKD7ybYGd,Silence Kid,['Pavement'],Pavement,4
6PVsZG7ZLbCjodCNtbQNfb,Elevate Me Later,['Pavement'],Pavement,5
6djM07km0Jomks2S7p7obn,Stop Breathin,['Pavement'],Pavement,1
2jbmKdUnKuAoNhWDZwmz9u,Newark Wilder,['Pavement'],Pavement,3
10ZQm8oJGYLJg0x8B0TPEZ,Unfair,['Pavement'],Pavement,6
