id,k16_cluster
3icbmPGKTsKAa0IinkizCM,0
5pfJsMwoRYKampPay8amX0,0
09CtPGIpYB4BrO8qb1RGsF,3
5tf1VVWniHgryyumXyJM7w,2
4KkGTqja19AHqItq3XBV3C,2
4z0PnuB07fxtVZZRWsCfxb,2
6GnhWMhgJb7uyiiPEiEkDA,11
5cY8y2XgOfkAh4kSWLFKkz,2
3yZQk5PC52CCmT4ZaTIKvv,4
1BECwm5qkaBwlbfo4kpYx8,5
3px2rAPu74ltbkf9eZsZ8h,0
1UYLxZIL4IicS6TaPUZFTH,0
2EqlS6tkEnglzr7tkKAAYD,3
3vv9phIu6Y1vX3jcqaGz5Z,5
49XzscKLtLN0Th6NvnoAfj,4
7gjDIb4cs4ZXKzTWUrNpUy,3
0qZDyzZkeFfPseTXUPnH4C,11
1GHhmrGQefkDlbJ5yHlp1x,14
1UmqCjLXjTwPmuTeaopDQh,2
0MuqFuh4MerIiFsYWuEFaP,3
3Hv6OR4t58anfhWxjplYzi,3
731Pa6Gt7GAdADATMSEL0N,3
18io9MAebBKtxPpteymmJO,11
422lAAWQO9TqL1LxIPdhOn,5
4ztaHDRJVuQe61KVCIpgqw,11
7miNmbTLgCeGU0clGmg1Oy,6
09nGThpfDl7YVkOHI9uimO,11
1AufKRy3qVHdHmbwusee6A,2
0vjKXtFLt6Ti08Y3JCnRKB,11
7M9t7BCy51ITF8IMyiemzk,2
26jrY21NkSefFPxpndtu4z,11
4wckW1OjAM2z6elKQdqUpi,5
7cYtIISdq6e8UtWKugjCvm,11
1Bqxj0aH5KewYHKUg1IdrF,11
3V8gULd6OJQ8myIO9ET23e,3
3DJzymVeQfMiPRgNSPUavd,4
7xq3uN2toVZ8IbNzfTucyJ,11
40YcuQysJ0KlGQTeGUosTC,3
66hayvUbTotekKU3H4ta1f,3
27L8sESb3KR79asDUBu8nW,2
5M5mzimlah21xlC1rAuIuY,4
3cfOd4CMv2snFaKAnMdnvK,6
4B0JvthVoAAuygILe3n4Bs,2
17AS0y6FnHdYImAPUydAJg,5
2M5ndhTi0zOIymTD4Ff1T8,5
4QRWA5UqYU1st9aO0UfxOj,0
5psz20rVFNRlt0u9cpzBpY,3
6bM3GKo47KVgvj3gHdWS0U,14
0KiKfllNTmhImvXVIHqR0z,2
1zucHJN4WKHIzSL4FyiJw9,6
1BTj47Up5m8601KOFrTvkj,6
4q6oNFTjZmJqkIgPdp8iR1,3
5rwOE5J3Y1A2NiRa6y3Yph,0
0M2ZekrsEkru9Xp5rWnouQ,5
0aAk9KMmPChiS2EG9Fg7IX,14
4iq3zHwgHSxstFvYw4yIsQ,2
5FhaG2uuOPmPcGXO9aniCH,3
07iOINnxGPYOtSFEJ0CFs6,11
0dEPlb8waIqRtKpLb3l6So,6
27GmP9AWRs744SzKcpJsTZ,0
6v4F5IaKUITBPzt2wztoiZ,3
7x5xYW5W42OGPAdHUyyguy,0
5LME7YULt0enp6UAB8VoDn,6
5Z01UMMf7V1o0MzF86s6WJ,11
2GySDVHysOf7m9hEi0tITJ,6
5Ck3e6z1bcSCes5gdo0Ddt,5
16htJAxlkExkTlTJ9SkvZw,2
3Byz6Mk9WCNYeGthiDVti2,5
7aMo64cyIExitfCMODggrh,0
3ZffCQKLFLUvYM59XKLbVm,5
5JLOlcufPheyiTzsHnszMj,2
1SyQ6t9RdRBK0QUCS6a797,2
7lXzzSYnmR214tk0aiWlUx,1
45V4Mk7vZV2b9JfSWuUX9m,5
5PUawWFG1oIS2NwEcyHaCr,3
1wHZx0LgzFHyeIZkUydNXq,5
5wUUWVRvrciJqFitZF8R0P,5
7qfur8OfEOABgenV3Wf0JK,3
41MOCUNOgWtaYBFUsGnpZ5,6
1B75hgRqe7A4fwee3g3Wmu,2
5y6m0NK2ksRFpml2EXPBTk,6
5a4ZTEMp6wULHTEzJclKxt,7
3Me6jL0FA65yPn9gmZ8m4H,11
4ZZMjwllUP6nWECv13IkgK,0
4kCvpSVa2XQUiarE7EE5Fs,0
1HNkqx9Ahdgi1Ixy2xkKkL,7
3zkWCteF82vJwv0hRLba76,0
